"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=0000000008&endsec=vg&freq=M&start=200101&end=202010&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Tue Jan 12 2021 08:42:52 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020"
"Average retail price of electricity","cents per kilowatthour",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.PRICE.US-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West South Central",,"ELEC.PRICE.WSC-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Louisiana","cents per kilowatthour","ELEC.PRICE.LA-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Louisiana : all sectors","cents per kilowatthour","ELEC.PRICE.LA-ALL.M",7.37,7.92,8.47,7.75,7.29,7.73,6.91,6.45,6.48,6.55,5.45,5.21,5.40,5.39,5.30,5.34,5.87,6.52,6.57,6.40,6.30,6.13,6.02,6.07,5.86,5.89,6.86,7.13,7.38,7.26,7.40,7.52,7.45,7.15,6.42,6.37,6.59,6.61,6.88,6.89,7.01,7.16,7.38,7.89,7.56,7.32,6.61,7.21,6.89,7.04,7.05,6.76,7.04,7.96,8.23,8.40,8.39,9.25,9.93,9.28,8.51,9.07,8.23,7.87,7.77,8.10,8.26,8.31,8.71,9.11,8.00,7.56,8.06,8.37,8.30,8.55,8.75,8.35,8.66,8.62,8.25,8.60,7.81,8.30,7.86,7.88,8.66,8.94,9.35,9.42,10.41,11.07,10.46,10.20,9.51,8.65,8.12,8.07,7.87,7.41,7.32,6.45,6.98,6.78,6.69,6.68,6.13,6.56,7.47,7.76,8.40,7.82,7.54,7.56,7.95,8.13,8.26,8.15,7.41,7.02,7.00,7.21,7.54,7.48,7.59,8.23,8.22,8.19,8.18,7.95,7.08,6.90,6.95,6.94,6.88,6.76,6.87,6.48,6.96,6.86,7.10,7.14,6.79,7.07,7.73,7.87,8.00,7.64,7.92,8.23,8.46,8.47,8.29,8.16,7.71,7.62,7.51,7.71,7.94,8.46,8.57,8.56,8.77,8.37,8.21,7.91,7.21,7.79,7.62,7.58,7.61,7.43,7.77,7.59,7.71,8.07,7.96,7.82,7.30,7.03,7.15,7.06,7.50,7.12,7.23,7.12,7.52,7.85,7.99,7.66,7.41,7.74,6.31,7.73,7.85,7.38,7.76,8.35,8.49,8.17,8.13,7.95,7.64,7.37,7.59,7.55,8.01,7.70,7.55,7.70,8.15,8.10,7.62,7.33,7.55,7.57,7.28,7.44,7.67,7.58,8.12,7.83,8.06,7.89,7.79,7.93,7.58,7.12,7.25,6.92,7.13,7.01,7.45,7.48,7.63,7.55,7.77,8.20
"Louisiana : residential","cents per kilowatthour","ELEC.PRICE.LA-RES.M",7.97,8.52,9.17,8.64,8.33,8.80,7.83,7.56,7.55,7.82,6.59,6.38,6.27,6.42,6.33,6.54,7.10,7.69,7.67,7.46,7.45,7.22,7.11,7.08,6.68,6.59,7.67,8.00,8.23,8.30,8.38,8.44,8.41,8.12,7.31,7.12,7.29,7.28,7.65,7.83,8.06,8.23,8.34,8.86,8.52,8.28,7.46,7.98,7.45,7.73,7.81,7.74,8.12,8.86,9.08,9.26,9.28,9.99,10.65,9.74,8.89,9.59,8.67,8.76,8.82,9.09,9.07,9.14,9.70,10.16,8.90,8.42,8.86,9.04,9.13,9.70,9.91,9.50,9.64,9.54,9.24,9.71,8.88,9.19,8.49,8.62,9.44,9.85,10.36,10.38,11.27,11.80,11.27,10.95,10.38,9.28,8.73,8.85,8.65,8.49,8.54,7.64,7.99,7.85,7.92,7.95,7.39,7.60,8.14,8.57,9.23,9.22,9.05,8.86,9.14,9.29,9.53,9.58,8.86,8.19,7.90,8.24,8.83,8.90,9.14,9.47,9.36,9.41,9.49,9.45,8.62,8.18,8.15,8.40,8.40,8.38,8.48,8.01,8.38,8.29,8.56,8.68,8.39,8.47,8.88,9.17,9.19,9.17,9.70,9.70,9.78,9.76,9.72,9.68,9.19,8.76,8.57,8.85,9.26,10.21,10.33,10.11,10.18,9.85,9.82,9.70,8.91,9.25,8.92,8.93,8.93,9.35,9.80,9.38,9.36,9.71,9.72,9.65,9.15,8.81,8.73,8.69,9.46,9.40,9.50,9.19,9.28,9.66,9.74,9.52,9.38,9.37,7.87,9.77,9.68,9.58,10.11,10.44,10.22,10.06,10.09,9.93,9.51,9.14,8.98,9.21,10.09,10.10,9.80,9.64,9.95,9.92,9.54,9.36,9.36,9.28,9.12,9.45,9.58,9.91,10.54,9.93,10.00,9.85,9.94,10.15,9.76,9.14,9.05,8.88,9.08,9.25,9.68,9.50,9.34,9.41,9.76,10.57
"Louisiana : commercial","cents per kilowatthour","ELEC.PRICE.LA-COM.M",8.15,8.68,9.43,8.49,7.90,8.29,7.16,6.80,6.89,7.34,6.28,6.07,6.27,6.41,6.35,6.39,6.61,7.12,7.03,6.80,6.54,6.48,6.70,6.85,6.62,6.56,7.58,7.81,7.78,7.75,7.68,7.79,7.75,7.54,6.98,6.83,7.14,7.30,7.48,7.52,7.44,7.56,7.59,8.11,7.76,7.69,7.18,7.97,7.47,7.70,7.77,7.47,7.62,8.26,8.47,8.65,8.82,9.75,10.78,10.15,9.31,9.95,9.05,8.81,8.38,8.77,8.72,8.83,9.25,9.80,8.89,8.65,8.93,9.29,9.14,9.50,9.47,9.06,9.16,9.09,8.71,9.28,8.82,9.23,8.77,8.89,9.59,9.81,10.10,9.96,10.74,11.49,10.97,10.57,10.44,9.40,8.92,9.05,8.50,8.10,7.90,6.88,7.32,7.21,7.20,7.32,7.14,7.48,8.12,8.68,9.36,8.78,8.27,8.10,8.34,8.50,8.75,8.81,8.41,8.03,7.95,8.35,8.55,8.43,8.41,8.70,8.63,8.70,8.67,8.72,8.00,7.95,8.08,8.15,7.95,7.73,7.67,7.20,7.52,7.40,7.69,7.91,7.92,8.16,8.85,9.09,9.14,8.83,9.04,8.98,9.08,9.07,8.91,8.96,8.79,8.81,8.68,8.99,9.16,9.77,9.63,9.29,9.39,8.95,8.91,8.93,8.49,9.12,8.90,8.81,8.80,8.67,8.87,8.45,8.42,8.71,8.71,8.72,8.50,8.44,8.45,8.51,9.00,8.71,8.53,8.22,8.25,8.62,8.67,8.55,8.71,9.05,7.67,9.27,9.12,8.90,9.03,9.45,9.19,8.94,9.01,8.94,8.94,8.82,9.06,9.07,9.49,9.36,8.77,8.60,8.90,8.83,8.41,8.30,8.77,8.94,8.74,9.10,9.17,9.05,9.24,8.82,8.85,8.70,8.74,8.86,9.07,8.76,8.83,8.69,8.59,8.56,8.66,8.42,8.37,8.34,8.70,9.39
"Louisiana : industrial","cents per kilowatthour","ELEC.PRICE.LA-IND.M",6.21,6.93,7.36,6.59,6.08,6.27,5.41,4.60,4.63,4.81,4.09,3.71,3.91,3.91,3.81,3.88,4.31,4.94,4.92,4.70,4.61,4.61,4.64,4.64,4.54,4.68,5.57,6.00,6.24,5.58,5.85,5.99,5.93,5.87,5.29,5.35,5.43,5.47,5.73,5.79,5.79,5.62,5.94,6.39,6.15,5.93,5.51,6.05,5.90,5.94,5.90,5.53,5.78,6.62,6.74,6.90,6.91,7.74,8.70,8.28,7.51,7.97,7.20,6.50,6.34,6.46,6.71,6.72,7.01,7.53,6.64,5.95,6.57,6.99,6.92,7.01,7.19,6.58,6.95,6.90,6.48,6.80,6.13,6.78,6.47,6.34,7.19,7.58,7.87,7.76,8.91,9.67,9.06,8.88,8.12,7.39,6.64,6.39,6.41,5.85,5.64,4.56,4.90,4.77,4.66,4.71,4.29,4.78,5.92,6.00,6.60,6.03,5.66,5.48,5.81,5.99,6.07,6.09,5.57,5.03,5.08,5.20,5.59,5.65,5.56,6.28,6.24,6.12,6.11,5.97,5.31,5.04,4.94,4.87,4.93,4.84,4.82,4.17,4.59,4.49,4.74,4.98,4.74,5.07,5.74,5.84,6.07,5.65,5.80,6.11,6.24,6.24,6.05,5.92,5.77,5.58,5.45,5.54,5.93,6.52,6.63,6.58,6.81,6.35,6.01,5.72,5.15,5.79,5.53,5.49,5.45,5.30,5.52,5.30,5.28,5.63,5.63,5.62,5.24,4.95,4.98,4.77,5.23,4.87,4.83,4.52,4.89,5.28,5.54,5.33,5.18,5.56,4.19,5.44,5.74,5.14,5.35,5.91,6.15,5.71,5.72,5.64,5.53,5.20,5.19,5.17,5.73,5.40,5.22,5.20,5.65,5.66,5.19,5.01,5.46,5.39,4.96,5.06,5.42,5.41,5.70,5.31,5.48,5.28,4.90,5.44,5.14,4.67,4.74,4.37,4.66,4.54,4.87,4.70,4.80,4.58,4.79,5.46
"Louisiana : transportation","cents per kilowatthour","ELEC.PRICE.LA-TRA.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",6.63,6.76,7.45,7.83,7.62,7.54,7.46,7.69,7.89,7.33,6.71,6.54,5.72,6.17,6.52,6.72,7.34,7.70,7.63,7.54,7.41,8.00,5.67,7.84,6.13,5.90,6.95,6.85,7.39,6.92,8.02,9.63,9.29,38.64,64.71,100.00,59.52,10.68,16.46,16.46,9.97,15.98,15.42,16.15,16.45,17.93,14.77,16.78,13.87,15.27,15.34,15.09,21.00,14.86,13.40,15.11,11.04,13.37,14.55,12.11,10.55,10.81,11.99,11.55,11.27,12.11,10.13,12.57,13.66,11.88,14.57,11.02,11.04,10.84,9.99,10.02,9.33,8.12,10.47,11.13,10.67,10.30,10.13,9.38,8.73,9.54,9.43,8.75,8.86,9.86,10.42,10.10,10.69,9.85,8.71,8.30,7.92,8.79,8.94,8.64,8.59,8.53,9.73,8.59,8.29,8.78,7.28,5.85,8.20,8.72,8.01,7.92,8.98,7.98,9.21,8.59,9.57,9.55,9.18,9.06,8.60,9.88,10.13,9.08,9.91,9.55,9.93,10.76,9.15,9.31,8.50,8.58,9.41,10.09,9.21,9.34,10.06,9.09,9.92,8.56,9.17,9.38,8.60,8.72,8.38,7.18,8.77,8.34,9.25,8.90,8.22,8.89,8.46,7.66,7.56,7.84,7.81,8.48,9.28,9.68,9.57,9.07,8.68,9.33,9.35,8.34,9.60,9.22,9.73,10.08,10.44,9.85,10.01,10.56,9.66,9.84,9.55,9.82,10.23,9.54,10.27,9.73,9.89,11.11,9.23,9.65,9.90,9.34,8.25,7.60,8.04,8.10,8.87,9.06,9.14,9.66,9.51,9.65,9.00,8.76,9.02,8.57,8.62,8.85,9.46,8.97,8.47,7.87,8.28,7.82,9.12,9.04,9.50,9.45
"Louisiana : other","cents per kilowatthour","ELEC.PRICE.LA-OTH.M",8.62,9.68,10.23,9.35,8.40,9.14,8.15,7.79,8.31,8.22,6.83,6.55,6.50,6.63,6.65,6.52,6.71,7.23,7.33,7.16,7.26,7.10,7.41,7.99,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
