"Number of customer accounts"
"https://www.eia.gov/electricity/data/browser/#/topic/56?agg=0,1&geo=0000000008&endsec=vg&freq=M&start=200101&end=202010&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Tue Jan 12 2021 08:44:17 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020"
"Number of customer accounts","number of customers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.CUSTOMERS.US-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West South Central",,"ELEC.CUSTOMERS.WSC-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Louisiana","number of customers","ELEC.CUSTOMERS.LA-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Louisiana : all sectors","number of customers","ELEC.CUSTOMERS.LA-ALL.M",2195097,2195066,2197717,2200910,2201846,2210505,2213661,2214353,2207762,2212656,2208018,2210519,2220124,2219488,2228526,2230097,2230176,2239345,2240990,2242960,2241897,2241634,2239499,2241923,2233391,2234220,2246684,2242407,2242828,2261455,2270837,2270277,2267428,2309348,2307767,2299336,2261371,2262160,2269851,2269918,2279235,2278096,2277947,2282951,2279705,2276463,2276107,2277426,2279580,2282328,2287986,2289069,2293379,2297278,2299312,2301574,2294804,2300700,2298038,2296924,2301471,2300530,2303754,2308978,2310829,2313302,2317173,2319100,2317303,2317629,2314636,2318034,2328021,2328350,2333149,2334272,2336272,2342181,2352033,2354090,2354129,2353792,2351743,2354676,2348170,2349157,2354361,2357173,2357101,2365312,2367127,2369307,2368335,2368006,2365835,2369036,2353879,2357786,2363866,2363328,2365515,2371874,2372196,2377342,2376086,2374154,2373519,2374966,2375056,2368596,2385395,2379544,2386321,2390411,2390432,2385215,2390549,2388603,2388647,2386744,2391431,2383362,2392977,2392857,2395860,2399845,2400803,2404575,2400894,2404131,2401511,2400112,2400038,2397664,2397243,2405271,2412654,2392372,2424912,2415656,2415322,2425724,2416862,2416179,2436427,2423304,2457535,2448028,2447506,2463458,2467181,2465769,2462331,2446951
"Louisiana : residential","number of customers","ELEC.CUSTOMERS.LA-RES.M",1910997,1911536,1913554,1915799,1916791,1923916,1926394,1927138,1921349,1926324,1922432,1924793,1933195,1933820,1941377,1942797,1943065,1950170,1952529,1954794,1953756,1953440,1951631,1953390,1945246,1946482,1957519,1953402,1953192,1969021,1976785,1977254,1974893,2012085,2010328,2001856,1968400,1969610,1976059,1975774,1983971,1981589,1981873,1985875,1983525,1981267,1980306,1981855,1983905,1986888,1991272,1992478,1995299,1998408,2000043,2002363,1996663,2001965,1999703,1998927,2002312,2001940,2004874,2009120,2010293,2011796,2014706,2016305,2015559,2015735,2013264,2016600,2013185,2013748,2018088,2018474,2019633,2025723,2032224,2034411,2034801,2035027,2033505,2035827,2032657,2034419,2038533,2040696,2040675,2046735,2047461,2049232,2048683,2048992,2047037,2049993,2047071,2050469,2055870,2055423,2056517,2061169,2061800,2066198,2066689,2064810,2064287,2066103,2065096,2061879,2073383,2070074,2074948,2077758,2077926,2073319,2078941,2077266,2076567,2076202,2079995,2073909,2081807,2081219,2083299,2086401,2086974,2090389,2088124,2090900,2089114,2088516,2086165,2084891,2084344,2091342,2098721,2079026,2107844,2099949,2102385,2108485,2101624,2100816,2125527,2114876,2140268,2133290,2134362,2147265,2150646,2149965,2150136,2127007
"Louisiana : commercial","number of customers","ELEC.CUSTOMERS.LA-COM.M",263244,263046,263571,264442,264447,265963,266779,266802,266286,266354,265853,266289,268077,267241,268585,268750,268558,270415,269708,269456,269643,269753,269497,270318,270007,269799,271023,270787,271489,274030,275643,274749,274450,279229,279464,279438,275076,274821,275826,276131,277098,278053,277748,278701,277964,277185,277792,277652,277584,277841,278712,278423,279742,280515,280846,281181,280054,280478,280109,279865,280542,279998,280247,280987,281454,282326,283188,283475,282568,282698,282222,282305,295484,295337,295795,296307,297084,297229,299912,299875,299528,299071,298646,299156,296038,295436,296419,296939,296847,298654,299832,300230,299773,299309,299075,299480,287799,288238,288877,288806,289572,291270,290979,291647,290160,290157,290056,289757,290459,287483,292311,289945,291600,292814,292681,292060,291979,291784,292554,291153,291916,290247,291712,292135,292750,293609,293946,294359,293187,293687,293009,292445,294639,293814,293708,294495,294302,293959,297329,296159,293452,297680,295995,296299,292571,290231,298810,296196,294661,297544,297863,297202,293545,300227
"Louisiana : industrial","number of customers","ELEC.CUSTOMERS.LA-IND.M",20831,20459,20567,20644,20588,20601,20467,20390,20106,19953,19710,19414,18829,18403,18539,18526,18529,18736,18729,18686,18474,18417,18348,18192,18107,17915,18118,18195,18123,18382,18387,18252,18063,18012,17953,18020,17894,17728,17965,18012,18165,18453,18325,18374,18215,18010,18008,17918,18090,17598,18001,18167,18337,18354,18422,18029,18086,18256,18225,18131,18617,18592,18633,18871,19082,19180,19279,19320,19176,19196,19141,19129,19351,19264,19265,19490,19554,19228,19896,19803,19799,19693,19591,19692,19474,19301,19408,19537,19578,19922,19833,19844,19878,19704,19722,19562,19008,19078,19118,19098,19425,19434,19416,19496,19236,19186,19175,19105,19500,19233,19700,19524,19772,19838,19824,19835,19628,19552,19525,19388,19519,19205,19457,19502,19810,19834,19882,19826,19582,19543,19387,19150,19233,18958,19190,19433,19630,19386,19738,19547,19484,19558,19242,19063,18328,18196,18456,18541,18482,18648,18671,18601,18649,19716
"Louisiana : transportation","number of customers","ELEC.CUSTOMERS.LA-TRA.M",25,25,25,25,20,25,21,23,21,25,23,23,23,24,25,24,24,24,24,24,24,24,23,23,31,24,24,23,24,22,22,22,22,22,22,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,9,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Louisiana : other","number of customers","ELEC.CUSTOMERS.LA-OTH.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
