"Retail sales of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/5?agg=0,1&geo=0000000008&endsec=vg&freq=M&start=200101&end=202010&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Tue Jan 12 2021 08:36:32 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020"
"Retail sales of electricity","million kilowatthours",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.SALES.US-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West South Central",,"ELEC.SALES.WSC-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Louisiana","million kilowatthours","ELEC.SALES.LA-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Louisiana : all sectors","million kilowatthours","ELEC.SALES.LA-ALL.M",6572,5801,5408,5469,6039,6795,7147,7441,6950,6204,5407,5461,6168,5783,5695,5646,6512,6966,7542,7788,8093,7154,5862,6051,6560,5997,5464,5373,6110,7000,7437,7618,7703,6716,5734,6057,6379,6099,5714,5603,5973,7183,7700,7848,7746,6889,6571,6032,6488,6064,5556,5662,5957,7236,8024,7955,6893,6453,5550,5551,5917,5660,5539,5660,5993,7027,7670,7950,7579,6650,5858,5965,6320,6341,5794,5737,6082,7034,7520,7948,7922,6962,5981,5927,6635,6354,5641,5775,6128,7433,7820,8016,7169,5896,5830,6031,6288,5923,5514,5483,6099,6983,8058,7854,7494,6870,5904,6200,7228,6608,6246,5814,6366,7857,8386,8505,8152,7150,6238,6529,7174,7013,6093,6236,6648,7861,8654,8778,8276,6966,6139,6529,6863,6315,6284,6366,6775,7983,8405,8433,7742,6875,6332,6357,7141,6462,6315,6225,6406,7733,8264,8344,8323,7300,6365,6930,7871,7670,6729,6487,6779,7822,8539,8748,8507,7567,6907,7004,7672,7312,7027,6482,6926,8004,8938,9481,8675,7457,6801,6902,7511,7123,6633,6648,6903,8127,9095,9027,8675,7930,7007,6774,7463,6541,6577,6977,7242,8054,8739,8836,8430,7934,7068,7344,8404,7264,6563,6717,7336,8676,9073,9080,8879,8084,6880,7230,7681,7169,6822,6737,7017,8431,9037,9043,9049,8138,6963,7043,7230,6919,6681,6603,6624,7818,8485,8574,8042,7049
"Louisiana : residential","million kilowatthours","ELEC.SALES.LA-RES.M",2453,1870,1571,1614,1878,2389,2908,3100,2754,2041,1539,1683,2288,1937,1890,1706,2212,2564,2997,3190,3183,2544,1746,1900,2387,2242,1845,1633,2127,2764,3058,3205,3135,2346,1785,2045,2405,2176,1916,1645,1914,2732,3134,3243,3096,2560,2104,1939,2392,2076,1802,1700,1835,2810,3429,3428,2833,2655,1787,1907,2174,1915,1856,1794,2000,2638,3214,3323,3037,2301,1787,2073,2303,2379,1947,1722,1985,2549,3028,3301,3254,2541,1869,1999,2509,2341,1906,1785,1979,2888,3226,3316,2749,2184,1778,2189,2487,2236,1989,1762,2088,2711,3611,3334,2953,2501,1849,2225,3153,2654,2450,1786,2078,3090,3575,3696,3345,2566,1908,2379,2974,2757,2021,1933,2231,3115,3670,3645,3306,2340,1821,2206,2508,2073,1961,1921,2226,3009,3434,3442,3042,2369,1936,2106,2681,2213,2154,1924,1921,2818,3329,3383,3239,2596,1932,2520,3128,3013,2299,1836,2011,2703,3206,3287,3146,2440,2046,2286,2813,2642,2542,1864,2089,2795,3466,3762,3142,2436,1946,2048,2570,2425,1944,1759,2009,2772,3576,3449,3257,2695,2037,2156,2503,1922,1929,1940,2136,2666,3275,3269,2940,2598,2057,2298,3283,2506,1887,1795,2205,3143,3481,3423,3213,2646,2071,2412,2586,2296,2092,1814,2103,2935,3399,3384,3370,2707,2063,2236,2462,2239,2111,2041,2240,2933,3523,3515,3143,2302
"Louisiana : commercial","million kilowatthours","ELEC.SALES.LA-COM.M",1437,1282,1256,1313,1440,1589,1740,1754,1722,1530,1340,1320,1360,1264,1248,1256,1477,1569,1705,1788,2040,1926,1539,1514,1709,1587,1565,1558,1779,1963,2079,2111,2165,1991,1706,1731,1699,1641,1644,1632,1771,2030,2178,2178,2216,2022,1855,1702,1746,1665,1582,1642,1744,2050,2254,2222,1806,1890,1601,1488,1595,1587,1600,1609,1777,2004,2134,2204,2125,1947,1748,1649,1758,1669,1671,1688,1808,2019,2135,2262,2275,2079,1814,1709,1800,1747,1671,1712,1843,2159,2253,2266,2083,1938,1744,1726,1802,1659,1713,1726,1862,2086,2315,2273,2206,2080,1805,1774,1924,1797,1738,1705,1899,2236,2377,2408,2337,2125,1843,1815,1886,1814,1799,1844,1932,2239,2380,2403,2333,2056,1800,1795,1824,1754,1810,1868,2006,2266,2362,2377,2239,2077,1862,1799,1872,1773,1772,1771,1872,2193,2326,2353,2362,2169,1905,1887,1983,1930,1822,1782,1907,2182,2308,2369,2315,2119,1950,1826,1938,1866,1895,1856,1982,2201,2407,2542,2378,2133,1956,1844,1921,1809,1810,1820,1948,2204,2445,2421,2413,2235,1998,1871,1909,1735,1857,1863,1976,2151,2344,2343,2283,2181,1964,1894,1994,1828,1797,1768,1977,2270,2390,2390,2371,2206,1909,1791,1875,1738,1777,1773,1918,2198,2365,2376,2381,2210,1896,1776,1837,1748,1831,1668,1678,2047,2234,2260,2145,1909
"Louisiana : industrial","million kilowatthours","ELEC.SALES.LA-IND.M",2470,2457,2379,2337,2512,2587,2258,2349,2230,2407,2326,2263,2297,2375,2355,2478,2592,2587,2591,2553,2609,2430,2355,2441,2463,2168,2054,2182,2205,2273,2300,2302,2402,2379,2243,2280,2273,2281,2153,2325,2288,2421,2386,2427,2432,2305,2610,2390,2350,2322,2171,2319,2376,2374,2339,2303,2253,1907,2163,2156,2148,2157,2082,2257,2215,2385,2322,2424,2416,2402,2323,2243,2259,2292,2176,2327,2288,2466,2356,2385,2392,2342,2298,2218,2326,2266,2064,2278,2306,2386,2340,2434,2337,1774,2308,2116,1999,2028,1810,1994,2148,2186,2130,2246,2335,2289,2249,2199,2150,2157,2057,2322,2387,2531,2433,2401,2469,2458,2486,2334,2313,2441,2273,2458,2485,2506,2603,2730,2636,2569,2517,2527,2530,2487,2512,2576,2542,2707,2608,2614,2459,2428,2534,2451,2588,2476,2388,2529,2612,2721,2608,2607,2722,2534,2527,2522,2758,2726,2607,2868,2860,2936,3025,3091,3045,3007,2910,2890,2920,2803,2590,2761,2853,3007,3064,3176,3153,2888,2899,3009,3018,2888,2878,3068,2946,3150,3072,3156,3004,2999,2971,2745,3050,2883,2789,3174,3128,3237,3119,3223,3206,3154,3046,3152,3126,2929,2877,3153,3152,3262,3201,3266,3294,3231,2899,3027,3218,3133,2952,3149,2994,3297,3272,3281,3296,3220,3003,3030,2930,2931,2737,2893,2705,2837,2728,2799,2752,2837
"Louisiana : transportation","million kilowatthours","ELEC.SALES.LA-TRA.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,2,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Louisiana : other","million kilowatthours","ELEC.SALES.LA-OTH.M",212,193,202,205,209,230,242,239,243,226,201,195,223,207,203,207,232,245,249,257,260,255,222,197,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
