"Revenue from retail sales of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/6?agg=0,1&geo=0000000008&endsec=vg&freq=M&start=200101&end=202010&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Tue Jan 12 2021 08:45:49 GMT-0600 (Central Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","Jan 2001","Feb 2001","Mar 2001","Apr 2001","May 2001","Jun 2001","Jul 2001","Aug 2001","Sep 2001","Oct 2001","Nov 2001","Dec 2001","Jan 2002","Feb 2002","Mar 2002","Apr 2002","May 2002","Jun 2002","Jul 2002","Aug 2002","Sep 2002","Oct 2002","Nov 2002","Dec 2002","Jan 2003","Feb 2003","Mar 2003","Apr 2003","May 2003","Jun 2003","Jul 2003","Aug 2003","Sep 2003","Oct 2003","Nov 2003","Dec 2003","Jan 2004","Feb 2004","Mar 2004","Apr 2004","May 2004","Jun 2004","Jul 2004","Aug 2004","Sep 2004","Oct 2004","Nov 2004","Dec 2004","Jan 2005","Feb 2005","Mar 2005","Apr 2005","May 2005","Jun 2005","Jul 2005","Aug 2005","Sep 2005","Oct 2005","Nov 2005","Dec 2005","Jan 2006","Feb 2006","Mar 2006","Apr 2006","May 2006","Jun 2006","Jul 2006","Aug 2006","Sep 2006","Oct 2006","Nov 2006","Dec 2006","Jan 2007","Feb 2007","Mar 2007","Apr 2007","May 2007","Jun 2007","Jul 2007","Aug 2007","Sep 2007","Oct 2007","Nov 2007","Dec 2007","Jan 2008","Feb 2008","Mar 2008","Apr 2008","May 2008","Jun 2008","Jul 2008","Aug 2008","Sep 2008","Oct 2008","Nov 2008","Dec 2008","Jan 2009","Feb 2009","Mar 2009","Apr 2009","May 2009","Jun 2009","Jul 2009","Aug 2009","Sep 2009","Oct 2009","Nov 2009","Dec 2009","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Jan 2016","Feb 2016","Mar 2016","Apr 2016","May 2016","Jun 2016","Jul 2016","Aug 2016","Sep 2016","Oct 2016","Nov 2016","Dec 2016","Jan 2017","Feb 2017","Mar 2017","Apr 2017","May 2017","Jun 2017","Jul 2017","Aug 2017","Sep 2017","Oct 2017","Nov 2017","Dec 2017","Jan 2018","Feb 2018","Mar 2018","Apr 2018","May 2018","Jun 2018","Jul 2018","Aug 2018","Sep 2018","Oct 2018","Nov 2018","Dec 2018","Jan 2019","Feb 2019","Mar 2019","Apr 2019","May 2019","Jun 2019","Jul 2019","Aug 2019","Sep 2019","Oct 2019","Nov 2019","Dec 2019","Jan 2020","Feb 2020","Mar 2020","Apr 2020","May 2020","Jun 2020","Jul 2020","Aug 2020","Sep 2020","Oct 2020"
"Revenue from retail sales of electricity","million dollars",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"United States",,"ELEC.REV.US-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"West South Central",,"ELEC.REV.WSC-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Louisiana","million dollars","ELEC.REV.LA-ALL.M",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Louisiana : all sectors","million dollars","ELEC.REV.LA-ALL.M",484,459,458,424,441,525,494,480,450,406,295,284,333,312,302,302,382,454,495,498,510,438,353,367,384,353,375,383,451,509,551,573,574,480,368,386,420,403,393,386,418,515,569,619,585,504,434,435,447,427,392,383,419,576,660,669,578,597,551,515,503,514,456,446,466,569,634,661,660,605,469,451,510,530,481,491,532,587,651,685,654,599,467,492,521,501,488,516,573,700,814,887,750,602,554,522,511,478,434,406,447,450,563,533,502,459,362,407,540,513,525,455,480,594,666,692,673,583,462,458,502,506,459,467,504,647,712,719,677,554,435,451,477,438,432,430,465,517,585,579,550,491,430,450,552,509,505,476,507,636,699,707,690,596,491,528,591,591,534,548,581,669,749,732,698,598,498,545,585,554,535,481,538,608,689,766,690,583,496,485,537,503,497,473,499,578,684,709,693,608,519,524,471,506,517,515,562,673,742,722,685,631,540,541,638,548,526,517,554,668,740,736,677,593,520,547,559,534,523,511,570,660,729,713,705,646,528,501,524,479,477,463,494,584,647,648,625,578
"Louisiana : residential","million dollars","ELEC.REV.LA-RES.M",196,159,144,139,156,210,228,234,208,160,102,107,143,124,120,112,157,197,230,238,237,184,124,135,159,148,142,131,175,229,256,270,264,191,131,146,175,158,147,129,154,225,261,287,264,212,157,155,178,160,141,132,149,249,311,317,263,265,190,186,193,184,161,157,176,240,292,304,295,234,159,174,204,215,178,167,197,242,292,315,301,247,166,184,213,202,180,176,205,300,364,391,310,239,185,203,217,198,172,150,178,207,289,262,234,199,137,169,257,227,226,165,188,274,327,343,319,246,169,195,235,227,178,172,204,295,344,343,314,221,157,180,204,174,165,161,189,241,288,285,261,206,162,178,238,203,198,176,186,273,325,330,315,251,178,221,268,267,213,187,208,273,326,324,309,237,182,211,251,236,227,174,205,262,324,365,305,235,178,180,224,211,184,165,191,255,332,333,317,257,191,202,197,188,187,186,216,278,335,329,296,258,196,210,295,231,190,181,216,303,346,340,307,248,194,224,236,217,200,180,222,291,340,333,335,275,201,204,223,199,192,189,217,279,329,331,307,243
"Louisiana : commercial","million dollars","ELEC.REV.LA-COM.M",117,111,118,111,114,132,125,119,119,112,84,80,85,81,79,80,98,112,120,122,133,125,103,104,113,104,119,122,138,152,160,164,168,150,119,118,121,120,123,123,132,154,165,177,172,155,133,136,130,128,123,123,133,169,191,192,159,184,173,151,149,158,145,142,149,176,186,195,197,191,155,143,157,155,153,160,171,183,196,205,198,193,160,158,158,155,160,168,186,215,242,260,228,205,182,162,161,150,146,140,147,143,169,164,159,152,129,133,156,156,163,150,157,181,198,205,204,187,155,146,150,151,154,156,162,195,205,209,202,179,144,143,147,143,144,144,154,163,178,176,172,164,147,147,166,161,162,156,169,197,211,213,210,194,167,166,172,173,167,174,184,203,217,212,206,189,166,167,173,164,167,161,176,186,203,221,207,186,166,156,162,154,163,158,166,181,202,209,209,191,174,169,146,161,169,166,179,203,215,210,206,195,176,167,181,166,171,166,173,195,213,211,199,183,167,160,164,158,163,160,177,194,209,207,208,196,172,155,162,152,157,143,145,172,187,188,187,179
"Louisiana : industrial","million dollars","ELEC.REV.LA-IND.M",153,170,175,154,153,162,122,108,103,116,95,84,90,93,90,96,112,128,127,120,120,112,109,113,112,102,114,131,138,127,135,138,142,140,119,122,124,125,123,135,132,136,142,155,150,137,144,145,139,138,128,128,137,157,158,159,156,148,188,179,161,172,150,147,140,154,156,163,169,181,154,134,148,160,151,163,165,162,164,165,155,159,141,150,151,144,148,173,181,185,209,235,212,158,187,156,133,130,116,117,121,100,104,107,109,108,96,105,127,129,136,140,135,139,141,144,150,150,138,117,117,127,127,139,138,157,162,167,161,153,134,127,125,121,124,125,123,113,120,117,117,121,120,124,148,145,145,143,151,166,163,163,165,150,146,141,150,151,154,187,189,193,206,196,183,172,150,167,161,154,141,146,157,159,162,179,178,162,152,149,150,138,150,149,142,143,150,167,166,160,154,153,128,157,160,163,167,191,192,184,183,178,169,164,162,151,165,170,164,170,181,185,171,162,158,163,160,158,160,170,171,175,179,173,162,175,154,141,139,128,128,131,132,133,131,128,132,155
"Louisiana : transportation","million dollars","ELEC.REV.LA-TRA.M","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Louisiana : other","million dollars","ELEC.REV.LA-OTH.M",18,19,21,19,18,21,20,19,20,19,14,13,15,14,14,13,16,18,18,18,19,18,16,16,"--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--"
