,dtime,sales,price
0,2001-01-01,6572,7.37
1,2001-02-01,5801,7.92
2,2001-03-01,5408,8.47
3,2001-04-01,5469,7.75
4,2001-05-01,6039,7.29
5,2001-06-01,6795,7.73
6,2001-07-01,7147,6.91
7,2001-08-01,7441,6.45
8,2001-09-01,6950,6.48
9,2001-10-01,6204,6.55
10,2001-11-01,5407,5.45
11,2001-12-01,5461,5.21
12,2002-01-01,6168,5.4
13,2002-02-01,5783,5.39
14,2002-03-01,5695,5.3
15,2002-04-01,5646,5.34
16,2002-05-01,6512,5.87
17,2002-06-01,6966,6.52
18,2002-07-01,7542,6.57
19,2002-08-01,7788,6.4
20,2002-09-01,8093,6.3
21,2002-10-01,7154,6.13
22,2002-11-01,5862,6.02
23,2002-12-01,6051,6.07
24,2003-01-01,6560,5.86
25,2003-02-01,5997,5.89
26,2003-03-01,5464,6.86
27,2003-04-01,5373,7.13
28,2003-05-01,6110,7.38
29,2003-06-01,7000,7.26
30,2003-07-01,7437,7.4
31,2003-08-01,7618,7.52
32,2003-09-01,7703,7.45
33,2003-10-01,6716,7.15
34,2003-11-01,5734,6.42
35,2003-12-01,6057,6.37
36,2004-01-01,6379,6.59
37,2004-02-01,6099,6.61
38,2004-03-01,5714,6.88
39,2004-04-01,5603,6.89
40,2004-05-01,5973,7.01
41,2004-06-01,7183,7.16
42,2004-07-01,7700,7.38
43,2004-08-01,7848,7.89
44,2004-09-01,7746,7.56
45,2004-10-01,6889,7.32
46,2004-11-01,6571,6.61
47,2004-12-01,6032,7.21
48,2005-01-01,6488,6.89
49,2005-02-01,6064,7.04
50,2005-03-01,5556,7.05
51,2005-04-01,5662,6.76
52,2005-05-01,5957,7.04
53,2005-06-01,7236,7.96
54,2005-07-01,8024,8.23
55,2005-08-01,7955,8.4
56,2005-09-01,6893,8.39
57,2005-10-01,6453,9.25
58,2005-11-01,5550,9.93
59,2005-12-01,5551,9.28
60,2006-01-01,5917,8.51
61,2006-02-01,5660,9.07
62,2006-03-01,5539,8.23
63,2006-04-01,5660,7.87
64,2006-05-01,5993,7.77
65,2006-06-01,7027,8.1
66,2006-07-01,7670,8.26
67,2006-08-01,7950,8.31
68,2006-09-01,7579,8.71
69,2006-10-01,6650,9.11
70,2006-11-01,5858,8.0
71,2006-12-01,5965,7.56
72,2007-01-01,6320,8.06
73,2007-02-01,6341,8.37
74,2007-03-01,5794,8.3
75,2007-04-01,5737,8.55
76,2007-05-01,6082,8.75
77,2007-06-01,7034,8.35
78,2007-07-01,7520,8.66
79,2007-08-01,7948,8.62
80,2007-09-01,7922,8.25
81,2007-10-01,6962,8.6
82,2007-11-01,5981,7.81
83,2007-12-01,5927,8.3
84,2008-01-01,6635,7.86
85,2008-02-01,6354,7.88
86,2008-03-01,5641,8.66
87,2008-04-01,5775,8.94
88,2008-05-01,6128,9.35
89,2008-06-01,7433,9.42
90,2008-07-01,7820,10.41
91,2008-08-01,8016,11.07
92,2008-09-01,7169,10.46
93,2008-10-01,5896,10.2
94,2008-11-01,5830,9.51
95,2008-12-01,6031,8.65
96,2009-01-01,6288,8.12
97,2009-02-01,5923,8.07
98,2009-03-01,5514,7.87
99,2009-04-01,5483,7.41
100,2009-05-01,6099,7.32
101,2009-06-01,6983,6.45
102,2009-07-01,8058,6.98
103,2009-08-01,7854,6.78
104,2009-09-01,7494,6.69
105,2009-10-01,6870,6.68
106,2009-11-01,5904,6.13
107,2009-12-01,6200,6.56
108,2010-01-01,7228,7.47
109,2010-02-01,6608,7.76
110,2010-03-01,6246,8.4
111,2010-04-01,5814,7.82
112,2010-05-01,6366,7.54
113,2010-06-01,7857,7.56
114,2010-07-01,8386,7.95
115,2010-08-01,8505,8.13
116,2010-09-01,8152,8.26
117,2010-10-01,7150,8.15
118,2010-11-01,6238,7.41
119,2010-12-01,6529,7.02
120,2011-01-01,7174,7.0
121,2011-02-01,7013,7.21
122,2011-03-01,6093,7.54
